,j_tittle,c_name,company_locations,job_description,Apply_link
0,Software Engineer (Full-Stack),Paces,"New York, NY","$$$ In the next 30 years, the world will transform every part of the built environment to be climate positive green infrastructure. Knowing what, where, and how to build infrastructure like solar farms is one of the great opportunities of our time.\ \ Paces is software for green infrastructure developers to identify the best places to build and manage their projects. Our software supports renewable energy, EV charging, carbon sequestration and data center customers with interconnection, permitting and siting of their projects. We are venture backed from Navitas Capital, Resolute Ventures, Y Combinator, and other top tier VCs.🌳 TL;DRWe are looking fora scrappy and customer centric full-stack engineerto join us as we scale up. You will have the chance to build things from ground up and own a large portion of the tech stack.🏆 What You’ll AchieveLead development on large scale projects, collaborate closely with the product and engineering teamOptimize speed and scalability of our data heavy platformConduct user researches, iterate with users, improve user experience and identify new opportunitiesCollaborate closely with our CTO and team to directly impact product roadmap📈RequirementsProficient with React, JavaScript / TypesScriptProficient with PythonYou are a proactive and fast learner and able to pick up new things quicklyYou genuinely want to build something people want, enjoy talking to users and learning their needs✨ About YouYou will thrive in our culture if you:Have a strong bias towards action and prioritize executionShare our passion to build something that fights climate changeEasily handle the unstructured environment of fast moving startupsHave the hunger to grow together with Paces as we scale up🚀 Bonus PointsPrevious experience at a high-growth, fast-paced startupPrevious experience with map frameworks, such as Leaflet.js, Mapbox, and Google MapsPrevious experience scaling up data intensive, AI and analytics heavy solutionsPrevious experience building and deploying on AWS💰 Compensation And Benefits130K - 200K annual compensationCompetitive equity compensation401(k) matchingHealth, Dental and Vision insuranceHybrid working in the office 2-4 times per weekShow moreShow less",https://www.linkedin.com/jobs/view/software-engineer-full-stack-at-paces-3996689049?position=1&pageNum=0&refId=aypv74DwICvOomEBmb9VZA%3D%3D&trackingId=BGwoTf0amajSOaI5LRv6Kg%3D%3D&trk=public_jobs_jserp-result_search-card
1,Entry Level Software Engineer (Remote),Engtal,United States,Related to grapgics design,https://www.linkedin.com/jobs/view/entry-level-software-engineer-remote-at-engtal-3991211931?position=2&pageNum=0&refId=aypv74DwICvOomEBmb9VZA%3D%3D&trackingId=jkakK3jCbExYg0znSLPLzQ%3D%3D&trk=public_jobs_jserp-result_search-card
2,Software Engineer - Apps,PhonePe,"Sunnyvale, CA","$$$ About PhonePe Engineering - USPhonePe is India's leading digital payments App with over 380 Mn users, driving over 3 Bn monthly transactions adding up to $830 Bn in Annual TPV run rate. We have successfully digitized close to 30 million offline merchants, covering 99% PIN codes in the country.We are a homegrown success story and have emerged as India's largest payments app, and the engineers in the bay area can now be a part of our exciting journey. It is also an opportunity to grow one of the largest apps and transaction platforms in India. In fact, there are a handful of companies in the world operating at this scale today.The OpportunityPowering our massive scale is a 650 people strong engineering team in India, which has delivered best in class transaction speed and reliability, and has led to the creation of one of the world's largest payments platforms. For our next phase of our growth, we need to continue delivering superior performance and reliability on our mobile apps, while handling the diverse set of mobile devices and networks in India.This position is for the US Mobile core team at PhonePe. Mobile core is split between the US and India, with a plan to have about 10 engineers at each location. This split will allow the US team to work on self-contained and forward looking problems, with the India team which will interface more directly with the rest of the organization.The team will be responsible for driving the Android and iOS platforms. This will involve everything; build and release, developer tools, code quality, performance and reliability, internal and external SDKs, cross-platform frameworks, application security and incorporating best practices. This will also include exploring new technologies (for e.g. on-device machine learning, offline payments etc).We're looking for people who are interested in mobile platforms, building for scale, and can work independently in a fast-paced environment. And for engineers who are interested in spending time in India, we will fly you to India, and support working from here for upto 3 months a year!Requirements:Anywhere from 1+ years of experience with Android/iOS, with experience or interest in mobile infrastructure (e.g. platform / frameworks / performance)Strong passion for programming in general.Strong problem-solving skills - we face problems at scale that haven't been solved before (or have only been solved by a handful of companies)For senior engineers, strong system design and architecture skillsAbility to work independently with minimal supervision, and ability to unblock yourself.Flexibility around time zone, given the US/India split.Curiosity to tinker around, explore new paradigms and strong zest for continuous improvement.Eligibility Criteria:Valid Green CardValid H1B VISAValid F1 VISABenefits for Full time employees @PhonePe USAInsurance Benefits:- Employees have 100% Employer sponsored comprehensive Insurance plans which cover Medical, Dental, Vision & Life CoverWork Life Balance:-Leave policy: Unlimited paid time off, to rest and get away from everyday routine or attend to personal tasksRetirement Benefits:- 401K: PhonePe will match 50% of employee's contribution up to IRS limit in 401K fundMobility Benefits:-Relocation: Allowance of $7000 is provided during relocationWellbeing Benefits:-Physical wellbeing: Allowance of $1000 is provided annuallyLearning Assistance:-Learning wallet is loaded annually with $7000, which can be claimed in single or multiple instancesClick here forPhonePe Privacy Notice for California PhonePe PersonnelOther Benefits:-Work from India: Up to 2 months a year, subject to tax liabilityCompany will pay for international flight and 15 days of hotel accommodation in Bangalore once per yearEmployees can work from any location for the remaining time in India.Show moreShow less",https://www.linkedin.com/jobs/view/software-engineer-apps-at-phonepe-3996566069?position=3&pageNum=0&refId=aypv74DwICvOomEBmb9VZA%3D%3D&trackingId=JdUNmZqOjeNL52O5ggpVTg%3D%3D&trk=public_jobs_jserp-result_search-card
3,Software Engineer,Lockheed Martin,"California, United States","$$$ Basic QualificationsC# / .NET development experienceSQL database development experienceHTML, JavaScript and/or CSS development experienceDemonstrated interpersonal skillsProven ability to resolve complex issuesJob Code/TitleE1072:Software EngineerJob DescriptionAs part of the Space Engineering and Technology Metrics team, you will develop solutions to measure and improve engineering performance through common metrics and dashboards. You will use your software engineering skills to gather customer requirements, understand various data sources, and coordinate with stakeholders to develop metric solutions. You will develop prototypes, collect feedback, and work as part of a team to provide engineering performance measurement tools for all of LM Space. You should be driven, a self-starter, have excellent oral and written communication skills, and an abilty to work effectively in a fast-paced team environment.Desired SkillsExperience with UI/UX design principlesExperience with SQL Server database developmentExperience with Git, TFS, or related SCVSExperience with frameworks like Angular, or .NET Core, Web API / MVCExperience with cloud computing / Amazon Web Services / Pivotal Cloud FoundryExperience with SSIS packagesExperience with SQL Server Reporting ServicesOther Important InformationBy applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings.Ability to work remotelyPart-time Remote Telework: The employee selected for this position will work part of their work schedule remotely and part of their work schedule at a designated Lockheed Martin facility. The specific weekly schedule will be discussed during the hiring process.Select the Telework classification for this positionEmployee will telework > = 50%Ability to TelecommutePart time telecommutingShiftFirstWork Schedule InformationLockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits.Work Schedule4x10 hour day, 3 days off per weekSecurity ClearanceNoneLMCareers Business UnitSPACEDepartment7741A00:Engr Perf/MetricsJob ClassSoftware EngineeringJob CategoryExperienced ProfessionalCity, StateHighlands Ranch-CO, King of Prussia-PA, SUNNYVALE-CACityHighlands Ranch, King of Prussia, SunnyvaleZip19406, 80129, 94089VirtualnoRelocation/Housing Stipend AvailablePossibleReq TypeFull-TimeDirect/IndirectDirectAt Lockheed Martin, we use our passion for purposeful innovation to help keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work.With our employees as our priority, we provide diverse career opportunities designed to propel, develop, and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. We place an emphasis on empowering our employees by fostering an inclusive environment built upon integrity and corporate responsibility.If this sounds like a culture you connect with, you’re invited to apply for this role. Or, if you are unsure whether your experience aligns with the requirements of this position, we encourage you to search on Lockheed Martin Jobs , and apply for roles that align with your qualifications.EEOLockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.The application window will close in 90 days; applicants are encouraged to apply within 5 - 30 days of the requisition posting date in order to receive optimal consideration.National Pay StatementPay Rate:The annual base salary range for this position in California and New York (excluding most major metropolitan areas), Colorado, Hawaii, Washington or Washington DC is $70,500 - $135,000 . Please note that the salary information is a general guideline only. Lockheed Martin considers factors such as (but not limited to) scope and responsibilities of the position, candidate's work experience, education/ training, key skills as well as market and business considerations when extending an offer.Benefits offered:Medical, Dental, Vision, Life Insurance, Short-Term Disability, Long-Term Disability, 401(k) match, Flexible Spending Accounts, EAP, Education Assistance, Parental Leave, Paid time off, and Holidays.(Washington state applicants only) Non-represented full-time employees: accrue at least 10 hours per month of Paid Time Off (PTO) to be used for incidental absences and other reasons; receive at least 90 hours for holidays. Represented full time employees accrue 6.67 hours of Vacation per month; accrue up to 52 hours of sick leave annually; receive at least 96 hours for holidays. PTO, Vacation, sick leave, and holiday hours are prorated based on start date during the calendar year.This position is incentive plan eligible.Premium Pay StatementPay Rate:The annual base salary range for this position in most major metropolitan areas in California and New York is $81,000 - $152,600. Please note that the salary information is a general guideline only. Lockheed Martin considers factors such as (but not limited to) scope and responsibilities of the position, candidate’s work experience, education/ training, key skills as well as market and business considerations when extending an offer.Benefits offered:Medical, Dental, Vision, Life Insurance, Short-Term Disability, Long-Term Disability, 401(k) match, Flexible Spending Accounts, EAP, Education Assistance, Parental Leave, Paid time off, and Holidays.This position is incentive plan eligible.Show moreShow less",https://www.linkedin.com/jobs/view/software-engineer-at-lockheed-martin-3995971526?position=4&pageNum=0&refId=aypv74DwICvOomEBmb9VZA%3D%3D&trackingId=brjn%2BaSyzHzJIg335f7EWg%3D%3D&trk=public_jobs_jserp-result_search-card
4,Software Engineer,GirlTREK,"Washington, DC",Related to grapgics design,https://www.linkedin.com/jobs/view/software-engineer-at-girltrek-3997817639?position=5&pageNum=0&refId=aypv74DwICvOomEBmb9VZA%3D%3D&trackingId=rGWU2B47T%2Bq%2FOV6wz5vs3A%3D%3D&trk=public_jobs_jserp-result_search-card
5,Software Engineer (New Grad),Codeium,"Mountain View, CA",Related to grapgics design,https://www.linkedin.com/jobs/view/software-engineer-new-grad-at-codeium-3997245343?position=6&pageNum=0&refId=aypv74DwICvOomEBmb9VZA%3D%3D&trackingId=uVdYzM9uI08gseGYvI6pCg%3D%3D&trk=public_jobs_jserp-result_search-card
6,Software Engineer,Mailprotector,"Greenville, SC",Related to grapgics design,https://www.linkedin.com/jobs/view/software-engineer-at-mailprotector-3997814522?position=7&pageNum=0&refId=aypv74DwICvOomEBmb9VZA%3D%3D&trackingId=PwdvTocs9%2B%2BQ5KAoJZrsCA%3D%3D&trk=public_jobs_jserp-result_search-card
7,Software Engineer,Centivo,"Buffalo, NY","$$$ We exist for workers and their employers -- who are the backbone of our economy. That is where Centivo comes in -- our mission is to bring affordable, high-quality healthcare to the millions who struggle to pay their healthcare bills.Centivo is looking for aSoftware Engineerto join our team!We are looking for curious, pragmatic and capable frontend engineers who want to see their work drive better outcomes. You will join our Product Engineering team and work on projects to streamline and improve patient care. Our product engineers work closely with product management, design, and other teams to identify problems and build effective solutions, incrementally delivering high-value, easily maintainable web and mobile solutions that are secure and adhere to acceptable quality & performance benchmarks.You will join in building not only our interfaces and experiences but our culture and processes. Your primary focus will be the user experience across various platforms and devices. Additionally, every engineer on the product engineering team has opportunities to span the stack: you can sharpen your skills through close collaboration on mobile, frontend, and backend engineering challenges. Technical problem-solving appeals to you, but you will also create space for your colleagues to demonstrate the same. We all learn and grow to achieve goals that can never fit into a job description.What you'll do:Working under guidance of the Director Technology, you will:Front-end Development:Develop and maintain user interfaces that are responsive, accessible, and cross-browser compatible.Collaborate with UI/UX designers to implement designs and ensure a seamless user experience.Optimize front-end code for performance and scalability.Back-end Development:Design, develop, and maintain server-side logic.Implement and maintain databases using SQL technologies.Develop APIs (Application Programming Interfaces) for communication between the front-end and back-end systems.Ensure security, authentication, and authorization measures are implemented to protect data and resources.Database Management:Design and optimize database schemas to ensure efficient data storage and retrieval.Write database queries and optimize their performance.Ensure data integrity, consistency, and security.Version Control and Collaboration:Use version control systems to manage codebase changes and collaborate with team members.Participate in code reviews to ensure code quality, readability, and maintainability.Work closely with cross-functional teams, including designers, product managers, and quality assurance engineers, to deliver high-quality software.You should have:You have experience with more than one front-end language or framework and have shipped software into production.You set a high bar for technical excellence, and you want to help your peers achieve it.You can anticipate technical risks and can help mitigate them.You are familiar with a variety of approaches to debugging, maintaining, and improving UI/UX systems.You seek simple answers to complicated questions.Strong Typescript and React skillsExcellent oral and written communications; an ability to present information in a way that establishes rapport, persuades others, gains understandingProven organization skills with attention to detail and follow-upAbility to work independently and on a teamAbility to prioritize and handle multiple tasksComfort with ambiguity and working without well-established policies and practicesWhat does success look like?Join the Product Engineering team as a frontend engineer to enhance our UI/UX systems. You will help define UI patterns that balance development needs with user needs for simplicity, accessibility, performance, and monitoring.Help the team refine and maintain engineering processes that contribute to a great user experience — including writing tests and technical documentation.Routinely ship high quality software that helps simplify healthcare for our patients and clinicians.Engage in the entire life cycle of product engineering, including (but not limited to) sprint planning, retrospectives, on-call rotation, and deploying software.Build an understanding of our business, and our unique approach to health care so that your technical decisions impact the course of the company.Work Location:Remote; preference may be given to individuals geographically located within current or anticipated markets.Applicants must be authorized to work for ANY employer in the U.S. We are unable to sponsor or take over sponsorship of an employment Visa at this time.Pay TransparencyThe ranges we place in our job postings reflect what we anticipate to be the minimum to maximum of the base salary for this role. Additionally, our overall benefits package includes a few things you may consider towards a total compensation such as bonus, health benefits (some employer paid), PTO, and equity option grants.Salary Range$106,000—$134,500 USDOur Values:Resilient – This is wicked hard. There is no easy button for healthcare affordability. Luckily, the mission makes it worth it and sustains us when things are tough. Being resilient ensures we don't give up.Uncommon - The status quo stinks so we had to go out and build something better. We know the healthcare system. It isn't working for members, employers, and providers. So we're building it from scratch, from the ground up. Our focus is on making things better for them while also improving clinical results - which is bold and uncommon.Positive – We care about each other. It takes energy to do hard stuff, build something better and to be resilient and unconventional while doing it. Because of that, we make sure we give kudos freely and feedback with care. When our tank gets low, a team member is there to be a source of new energy. We celebrate together. We are supportive, generous, humble, and positive.Who we are:Centivo is an innovative health plan for self-funded employers on a mission to bring affordable, high-quality healthcare to the millions who struggle to pay their healthcare bills. Anchored around a primary care based ACO model, Centivo saves employers 15 to 30 percent compared to traditional insurance carriers. Employees also realize significant savings through our free primary care (including virtual), predictable copay and no-deductible benefit plan design. Centivo works with employers ranging in size from 51 employees to Fortune 500 companies. For more information, visit centivo.com.Headquartered in Buffalo, NY with offices in New York City and Buffalo, Centivo is backed by leading healthcare and technology investors, including a recent round of investment from Morgan Health, a business unit of JPMorgan Chase & Co.Show moreShow less",https://www.linkedin.com/jobs/view/software-engineer-at-centivo-3997813778?position=8&pageNum=0&refId=aypv74DwICvOomEBmb9VZA%3D%3D&trackingId=ZwNIjJ6ZAP3OvkcQ1f4wNw%3D%3D&trk=public_jobs_jserp-result_search-card
8,Software Engineer,Hertz,"Seattle, WA","$$$ Job DescriptionA Day in the Life:Come join us in our effort to digitally transform Hertz! Recent innovations such as smartphones, electric vehicles, and ride-hailing apps have created new and exciting opportunities in transportation that Hertz is uniquely positioned to capitalize on. We’re looking for software engineers who will modernize Hertz’s tech stack and, in the process, ship delightful products to meet the ever-increasing demands of our customers.What You Will DoDesign, implement and maintain applications that can be high-volume and low-latencyContribute to all stages of software development lifecycleAnalyze user requirements to define business objectivesEnvisioning system features and functionalityDevelop and test softwareIdentify and resolve any technical issues arisingCreate detailed design documentationPropose changes to current infrastructureDevelop technical designs for application developmentWrite well designed, testable codeConducting software analysis, programming, testing, and debuggingSupport continuous improvement, investigating alternatives and technologies, and presenting for architectural reviewWhat We're Looking ForLess than 2 years of experience in the technology industry, and a B.S. in Computer Science or equivalentProficiency in one or more programming languages and common data structures / algorithmsAbility to write production-ready code with moderate supervisionStrong communication skills. You must be able to work with cross-functional partners to gather requirements and explain outcomesStrong product sense. You must be able to align your work with business objectives and make appropriate tradeoffsLearning mentality. You must be able to pick up new skills as needed and demonstrate a curiosity about new technologiesWe expect the starting salary to be around $100,000 to $125,000 with annual bonus and profit sharing eligibility. The actual salary will be determined based on years of relevant work experienceWhat You’ll GetUp to 40% off any standard Hertz RentalPaid Time OffMedical, Dental & Vision plan optionsRetirement programs, including 401(k) employer matchingPaid Parental Leave & Adoption AssistanceEmployee Assistance Program for employees & familyEducational Reimbursement & DiscountsVoluntary Insurance Programs - Pet, Legal/Identity Theft, Critical IllnessPerks & Discounts –Theme Park Tickets, Gym Discounts & moreShow moreShow less",https://www.linkedin.com/jobs/view/software-engineer-at-hertz-3996821964?position=9&pageNum=0&refId=aypv74DwICvOomEBmb9VZA%3D%3D&trackingId=Jlz4ZFdtgVTucNjSUNuoRg%3D%3D&trk=public_jobs_jserp-result_search-card
9,"Full Stack Software Engineer (L5), Media Infrastructure Platform",Netflix,"Los Gatos, CA",Related to grapgics design,https://www.linkedin.com/jobs/view/full-stack-software-engineer-l5-media-infrastructure-platform-at-netflix-3990343562?position=10&pageNum=0&refId=aypv74DwICvOomEBmb9VZA%3D%3D&trackingId=Lvlc%2BlteetA3UpvdIW96kg%3D%3D&trk=public_jobs_jserp-result_search-card
